Title,Link,Tag
https://www.youtube.com/watch?v=p5nAVNxrjMg,Search in Rotated Sorted Array || leetcode challenge|| c++ solution,
https://www.youtube.com/watch?v=JzPJ672BWpE,Number of Islands || leetcode challenge || c++ solution,
https://www.youtube.com/watch?v=cJXG7jP_8yI,Minimum Path Sum || leetcode challenge || c++ solution,
https://www.youtube.com/watch?v=-pMh9xlJmoc,Reformat The String || Weekly Contest 185 || leetcode 1417. || c++ solution,
https://www.youtube.com/watch?v=5ksoFqFv1WU,Display Table of Food Orders in a Restaurant || Weekly Contest 185 || leetcode 1418 || c++ solution,
https://www.youtube.com/watch?v=ZePHjSG33Hc,Minimum Number of Frogs Croaking || Weekly Contest 185 || leetcode 1419 || c++ solution,
https://www.youtube.com/watch?v=cRbU6WpG4VA,Construct String from Binary Tree || leetcode 606 || easy problem || c++ solution,string |tree |depth-first-search |binary-tree |
https://www.youtube.com/watch?v=N5P0YFtzVko,Construct Binary Search Tree from Preorder Traversal || Leetcode challenge || c++ solution,
https://www.youtube.com/watch?v=jbjjhJu-k0o,Subarray Sum Equals K || 30-Day LeetCoding Challenge || c++ solution,
https://www.youtube.com/watch?v=LCufB7CqE9E,Perfect Squares || Leetcode 279 || leetcode medium || interview problem || c++ solution,math |dynamic-programming |breadth-first-search |
https://www.youtube.com/watch?v=tEj3GJTrqd8,Search a 2D Matrix II || leetcode 240 || leetcode medium || interview problem || c++ solution,array |binary-search |divide-and-conquer |matrix |
https://www.youtube.com/watch?v=fRcKOM4Iqe8,Sort Colors || leetcode 75 || leetcode medium || interview problem || c++ solution,array |two-pointers |sorting |
https://www.youtube.com/watch?v=keE2TutTbS8,Longest Valid Parentheses (stack version)|| leetcode 32 || leetcode hard || c++ solution,string |dynamic-programming |stack |
https://www.youtube.com/watch?v=RjR8ul5hooo,Bitwise AND of Numbers Range || leetcode challenge || c++ solution,
https://www.youtube.com/watch?v=W36Kd71Y4vs,Escape The Ghosts || leetcode 789 || leetcode medium || c++ solution,array |math |
https://www.youtube.com/watch?v=z49QRAfxq-Q,462. Minimum Moves to Equal Array Elements II || leetcode medium || c++ solution,array |math |sorting |
https://www.youtube.com/watch?v=6QdsVFzqZNA,Jump Game || 30-Day LeetCoding Challenge || [ C++ SOLUTION],
https://www.youtube.com/watch?v=b4deFnO3Lqc,Longest Common Subsequence || 30-Day LeetCoding Challenge || [C++ SOLUTION ],
https://www.youtube.com/watch?v=9OfmzsSZnP0,Maximum Score After Splitting a String || leetcode 1422 || leetcode weekly 186 || [C++ SOLUTION],
https://www.youtube.com/watch?v=OGVET7p3Bow,Maximum Points You Can Obtain from Cards || leetcode 1423 || leetcode weekly contest 186,
https://www.youtube.com/watch?v=6t82AO15Pgk,Diagonal Traverse II || leetcode 1424 || leetcode weekly contest 186 || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=F0lidQ9xSnU,Maximal Square || 30-Day LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=JLZWLBNCbts,First Unique Number || 30-Day LeetCoding Challenge || [C++ SOLUTION],
https://www.youtube.com/watch?v=JLZWLBNCbts,First Unique Number || 30-Day LeetCoding Challenge || [C++ SOLUTION],
https://www.youtube.com/watch?v=FUJTS-Y31_k,Binary Tree Maximum Path Sum || 30-Day LeetCoding Challenge || [C++ SOLUTION],
https://www.youtube.com/watch?v=FUJTS-Y31_k,Binary Tree Maximum Path Sum || 30-Day LeetCoding Challenge || [C++ SOLUTION],
https://www.youtube.com/watch?v=j0KO_INXbMA,1403. Minimum Subsequence in Non-Increasing Order || leetcode weekly-contest-183 || [C++ SOLUTION],
https://www.youtube.com/watch?v=j0KO_INXbMA,1403. Minimum Subsequence in Non-Increasing Order || leetcode weekly-contest-183 || [C++ SOLUTION],
https://www.youtube.com/watch?v=j0KO_INXbMA,1403. Minimum Subsequence in Non-Increasing Order || leetcode weekly-contest-183 || [C++ SOLUTION],
https://www.youtube.com/watch?v=1viQQvE5AVg,1404. Number of Steps to Reduce a Number in Binary Representation to One || weekly contest 183,
https://www.youtube.com/watch?v=1viQQvE5AVg,1404. Number of Steps to Reduce a Number in Binary Representation to One || weekly contest 183,
https://www.youtube.com/watch?v=gvn9XXohe5s,1394. Find Lucky Integer in an Array || weekly-contest-182 || [C++ SOLUTION],
https://www.youtube.com/watch?v=gvn9XXohe5s,1394. Find Lucky Integer in an Array || weekly-contest-182 || [C++ SOLUTION],
https://www.youtube.com/watch?v=4F0AgAMhAUA,1395. Count Number of Teams || weekly-contest-182 || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=4F0AgAMhAUA,1395. Count Number of Teams || weekly-contest-182 || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=Ej9drsbLTtA,Check If a String Is a Valid Sequence from Root to Leaves Path in a Binary Tree || 30-Day Challenge,
https://www.youtube.com/watch?v=Ej9drsbLTtA,Check If a String Is a Valid Sequence from Root to Leaves Path in a Binary Tree || 30-Day Challenge,
https://www.youtube.com/watch?v=Ej9drsbLTtA,Check If a String Is a Valid Sequence from Root to Leaves Path in a Binary Tree || 30-Day Challenge,
https://www.youtube.com/watch?v=Ej9drsbLTtA,Check If a String Is a Valid Sequence from Root to Leaves Path in a Binary Tree || 30-Day Challenge,
https://www.youtube.com/watch?v=V2SliJTHGQE,1250. Check If It Is a Good Array || leetcode HARD || [ C++ SOLUTION ],array |math |number-theory |
https://www.youtube.com/watch?v=V2SliJTHGQE,1250. Check If It Is a Good Array || leetcode HARD || [ C++ SOLUTION ],array |math |number-theory |
https://www.youtube.com/watch?v=V8Q6N-CB2Ww,First Bad Version || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=V8Q6N-CB2Ww,First Bad Version || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=gZwSqZWGDmA,Jewels and stones || May LeetCoding Challenge || [ C++ SOLUTION],
https://www.youtube.com/watch?v=gZwSqZWGDmA,Jewels and stones || May LeetCoding Challenge || [ C++ SOLUTION],
https://www.youtube.com/watch?v=KWZojFRw48k,Ransom Note || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=KWZojFRw48k,Ransom Note || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=OSPS0SH7YRY,Number Complement || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=OSPS0SH7YRY,Number Complement || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=pVsOnwPo6kk,First Unique Character in a String || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=pVsOnwPo6kk,First Unique Character in a String || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=xcjxhMc8QMQ,Majority Element(Boyer-Moore Voting Algorithm) || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=xcjxhMc8QMQ,Majority Element(Boyer-Moore Voting Algorithm) || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=Y-V3n9LHUk0,Cousins in Binary Tree || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=Y-V3n9LHUk0,Cousins in Binary Tree || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=XTQTQPRP24I,Check If It Is a Straight Line || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=XTQTQPRP24I,Check If It Is a Straight Line || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=zBJItUjd4js,Valid Perfect Square || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=zBJItUjd4js,Valid Perfect Square || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=zBJItUjd4js,Valid Perfect Square || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=zBJItUjd4js,Valid Perfect Square || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=zBJItUjd4js,Valid Perfect Square || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=zBJItUjd4js,Valid Perfect Square || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=zBJItUjd4js,Valid Perfect Square || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=C-k3psD-agA,Find the Town Judge || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=C-k3psD-agA,Find the Town Judge || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=uaAK6FuKs8w,Flood Fill || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=uaAK6FuKs8w,Flood Fill || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=uaAK6FuKs8w,Flood Fill || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=-WPBj3Jw0xA,1442. Count Triplets That Can Form Two Arrays of Equal XOR || Leetcode weekly contest 188 || C++ sol,
https://www.youtube.com/watch?v=-WPBj3Jw0xA,1442. Count Triplets That Can Form Two Arrays of Equal XOR || Leetcode weekly contest 188 || C++ sol,
https://www.youtube.com/watch?v=2ie1esMzUdc,1441. Build an Array With Stack Operations || Leetcode weekly contest 188 || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=2ie1esMzUdc,1441. Build an Array With Stack Operations || Leetcode weekly contest 188 || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=j3fJD5OZaek,1443. Minimum Time to Collect All Apples in a Tree || Leetcode weekly contest 188 || [C++ SOLUTION],
https://www.youtube.com/watch?v=j3fJD5OZaek,1443. Minimum Time to Collect All Apples in a Tree || Leetcode weekly contest 188 || [C++ SOLUTION],
https://www.youtube.com/watch?v=o6nPTWVTgoA,797. All Paths From Source to Target || C++ SOLUTION,backtracking |depth-first-search |breadth-first-search |graph |
https://www.youtube.com/watch?v=o6nPTWVTgoA,797. All Paths From Source to Target || C++ SOLUTION,backtracking |depth-first-search |breadth-first-search |graph |
https://www.youtube.com/watch?v=XjC4pQrMIME,Remove K Digits || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=XjC4pQrMIME,Remove K Digits || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=RvUzKn8s7WY,Implement Trie Prefix Tree || May LeetCoding Challenge || Interview problem,
https://www.youtube.com/watch?v=RvUzKn8s7WY,Implement Trie Prefix Tree || May LeetCoding Challenge || Interview problem,
https://www.youtube.com/watch?v=C4G8m3vvWFA,Maximum Sum Circular Subarray || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=C4G8m3vvWFA,Maximum Sum Circular Subarray || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=C4G8m3vvWFA,Maximum Sum Circular Subarray || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=C4G8m3vvWFA,Maximum Sum Circular Subarray || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=C4G8m3vvWFA,Maximum Sum Circular Subarray || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=C4G8m3vvWFA,Maximum Sum Circular Subarray || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=C4G8m3vvWFA,Maximum Sum Circular Subarray || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=C4G8m3vvWFA,Maximum Sum Circular Subarray || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=C4G8m3vvWFA,Maximum Sum Circular Subarray || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=C4G8m3vvWFA,Maximum Sum Circular Subarray || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=C4G8m3vvWFA,Maximum Sum Circular Subarray || May LeetCoding Challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=WHHi5KX3Flo,Find All Anagrams in a String || May leetcoding challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=WHHi5KX3Flo,Find All Anagrams in a String || May leetcoding challenge || [ C++ SOLUTION ],
https://www.youtube.com/watch?v=-CXkO0GL5MU,Online Stock Span || May LeetCoding Challenge || [ C++ SOLUTION ],
